0.00540189	0.0101601	0.00122449	-0.0155197	0.000186864	-0.0118686	-0.00569217	-0.0152193	0.00757135	0.0216712	0.00516234	-0.0363016	-0.0292662	0.0106666	-0.0095301	0.0028952	-0.0067529	0.0203862	-0.0106601	0.00764895	-0.0267366	0.0146531	-0.000984551	-0.0086742	0.01445	-0.00111708	-0.0103734	0.00888904	-0.00645215	0.00823034	-0.00943238	-0.00885456	-0.00651481	-0.0138807	-0.00520572	0.0144257	-0.000167842	-0.00566075	-0.0103137	0.0106091	0.00278144	-0.00284449	0.00679557	0.0190856	0.00169925	0.0125906	0.0169323	-0.00475094	-0.0160877	0.0016929	0.00326214	0.0104547	-0.0162013	-0.00152218	-0.0163171	-0.00966501	0.0354206	-0.0163811	-0.00753807	0.0225678	-0.00804798	-0.0264751	-0.0150093	-0.0159311	0.00898276	-0.0216842	0.0136063	0.0113445	-0.00655919	0.00693245	0.000376516	-0.00311369	-0.0126279	0.0107384	-0.0167538	0.0298748	-0.00740111	0.0053188	0.00672872	-0.00999066	-0.0145052	0.00983734	0.0175197	0.00823679	-2.21576e-05	0.0155518	0.0202899	0.0249899	-0.00131329	-0.0212925	-0.00828227	0.0158684	-0.0119599	0.00281923	0.0110078	0.00893869	-0.00205348	0.0041548	0.00491381	0.00970548	
0.0481805	0.0767325	0.0612245	-0.0967358	0.0576041	-0.0114321	-0.0126508	-0.121671	0.0984684	0.101231	0.0465317	-0.139591	-0.127777	0.0844995	-0.0775907	0.0114328	-0.0228509	0.0706105	-0.0934779	0.057959	-0.12581	0.0746916	-0.0420782	-0.0971701	0.0645333	0.0155245	-0.00410081	0.0412206	0.0232761	0.0159265	-0.0098009	-0.0408954	-0.0118351	-0.0779595	-0.0636737	0.0559653	0.0428595	0.00286295	-0.0277718	0.0706119	0.000808407	0.0114299	-0.0555451	0.0122363	0.00694628	0.0261175	0.0510396	-0.00937555	-0.0306187	-0.100816	0.060816	0.0269901	-0.0265244	-0.0885778	-0.0567338	-0.0727666	0.190223	-0.0224557	0.0289767	0.0457362	0.00205361	-0.088162	-0.0016229	-0.0473484	0.0542861	-0.0840906	0.0743215	0.0387712	-0.0510241	0.0253055	-0.00326869	-0.00656427	-0.0277527	0.0477802	-0.0661248	0.10859	0.00285162	0.0179606	0.0146825	0.0114613	0.00651335	0.0175558	0.0212215	0.0126618	-0.0910235	0.0991908	0.0510203	0.0604254	-0.00572436	-0.0885849	-0.0273655	-5.33134e-06	-0.0547197	0.02367	0.0702029	-0.0053106	-0.0114299	-0.00284973	0.0387773	0.0371384	
0.0335244	0.102837	0.112653	-0.108985	0.0511484	-0.0432827	-0.0052945	-0.190305	0.125521	0.111859	0.057903	-0.145294	-0.166101	0.113911	-0.102147	0.0106325	-0.0268549	0.0689685	-0.129418	0.0521983	-0.132424	0.0689599	-0.0274481	-0.138036	0.0564333	0.0367984	-0.0131538	0.0419984	0.0159617	0.0151381	-0.00655415	-0.0696168	-0.0159101	-0.100002	-0.0734286	0.0746453	0.0583063	0.0151311	-0.0367984	0.104896	0.00812406	-0.0146873	-0.0645892	-0.0106674	0.0249348	0.0424185	0.0501279	-0.0468777	-0.0411345	-0.131813	0.117958	0.0368968	0.00374282	-0.129356	-0.0608114	-0.0892244	0.235904	-0.0241111	0.0427837	0.0425181	-0.0174934	-0.11018	0.0155625	-0.0457211	0.0795935	-0.0930919	0.126638	0.019141	-0.0657302	0.0367314	-0.00818006	-0.0295525	-0.015497	0.0559975	-0.0759288	0.131481	0.0101763	0.0571497	0.0358327	0.0336134	0.00397456	0.0232876	-1.666e-05	0.00616131	-0.110625	0.152271	0.0403534	0.08169	-0.0269889	-0.084531	-0.0241488	-0.0147212	-0.0825321	0.0432464	0.113463	0.00528461	-0.0261292	-0.00445187	0.0322534	0.0370997	
0.0371734	0.103257	0.13102	-0.129799	0.0433396	-0.0632747	-0.00734117	-0.207013	0.129956	0.10491	0.0795816	-0.138362	-0.166543	0.125735	-0.101702	-0.000398177	-0.0158779	0.0636682	-0.13961	0.0518184	-0.137684	0.0612154	-0.00739455	-0.154747	0.0404667	0.0420772	-0.0143355	0.0375321	0.012267	0.00899775	-0.00123619	-0.0838484	-0.00489381	-0.0897968	-0.0877434	0.0898441	0.0775432	0.0294033	-0.0469761	0.12653	0.0207983	-0.0240784	-0.0600595	-0.0281947	0.0228763	0.0518235	0.0710209	-0.0685575	-0.0293524	-0.143666	0.120816	0.0511329	0.0237143	-0.151022	-0.0604058	-0.0969186	0.258381	-0.0310361	0.052226	0.0469789	-0.0358957	-0.105705	0.0192115	-0.0616361	0.0644906	-0.0992012	0.146609	-2.24934e-05	-0.0604165	0.0444882	0.00039984	-0.04869	-0.0134629	0.0465749	-0.0657197	0.140033	0.0326405	0.0828607	0.0362978	0.0347806	-0.0012804	0.0245013	-0.0110289	-0.00732843	-0.120007	0.182057	0.0260966	0.113916	-0.0379875	-0.0702267	-0.0302418	-0.0126669	-0.0886244	0.0599914	0.125303	0.00325457	-0.0330646	-0.00732843	0.0228614	0.0342664	
0.0339576	0.108948	0.127755	-0.143681	0.0458883	-0.0747201	-0.00977851	-0.220137	0.139875	0.0959507	0.0868544	-0.122022	-0.160759	0.135559	-0.100142	-0.00527626	-0.00515928	0.0530442	-0.129838	0.0525782	-0.146769	0.0538466	-0.000132507	-0.164598	0.0397333	0.0462163	-0.0152389	0.0350345	0.00659377	-0.00321306	-0.00289222	-0.0815399	0.00164515	-0.0946964	-0.0934054	0.0970493	0.088072	0.0351462	-0.0413174	0.14612	0.0330044	-0.034684	-0.0634026	-0.0347798	0.0220949	0.0468919	0.0872428	-0.0758288	-0.0267656	-0.134654	0.132242	0.0643335	0.0196998	-0.148514	-0.0750947	-0.101145	0.271394	-0.0245335	0.0586621	0.0519379	-0.0431827	-0.0975113	0.0257931	-0.0673571	0.0416352	-0.0967788	0.154844	-0.016396	-0.0743092	0.0387705	0.0134446	-0.0618986	-0.00610252	0.0450068	-0.066546	0.134359	0.0473067	0.0951123	0.0288319	0.0373483	0.00596184	0.0220739	-0.0183926	-0.0105557	-0.125733	0.209834	0.00970092	0.116412	-0.0543628	-0.0531176	-0.0303035	-0.0143263	-0.0993025	0.0575224	0.134276	0.00568196	-0.032255	-0.00565731	0.00164515	0.0350345	
0.0270228	0.114252	0.126531	-0.148171	0.0438562	-0.0816607	-0.00692017	-0.235249	0.133759	0.0824829	0.0905215	-0.106919	-0.149729	0.136787	-0.104641	-0.00649878	-0.00474087	0.0534512	-0.125351	0.0521643	-0.136568	0.0444564	0.00516727	-0.16991	0.0328	0.0433643	-0.0107557	0.033805	0.00292409	-0.00443415	-0.00656814	-0.0811455	0.00695213	-0.0869415	-0.107688	0.0949905	0.0966386	0.0355572	-0.0286676	0.154691	0.0423891	-0.0497854	-0.0581023	-0.0425415	0.0200575	0.0481132	0.0941756	-0.0852122	-0.0279779	-0.138325	0.145712	0.0623034	0.0258308	-0.141568	-0.069788	-0.0958468	0.264449	-0.0257608	0.0615111	0.0539852	-0.0501169	-0.0889364	0.0204912	-0.0767456	0.0273496	-0.0947406	0.160976	-0.0257894	-0.0788006	0.0318314	0.0236472	-0.0737613	-0.00324402	0.0331736	-0.0612409	0.136404	0.0615903	0.0963374	0.0324968	0.0443044	0.00717622	0.0216679	-0.0220678	-0.0134093	-0.126958	0.227388	0.00275388	0.120907	-0.0596743	-0.0469982	-0.0282683	-0.0155535	-0.0989006	0.0587449	0.132235	0.00527162	-0.0318475	-0.00279608	-0.0150888	0.0199255	
0.00778126	0.119584	0.117143	-0.148574	0.037622	-0.095112	5.83095e-06	-0.243756	0.118519	0.0665422	0.0877477	-0.0975454	-0.142046	0.145327	-0.101702	-0.00937798	-0.00689293	0.0424435	-0.122466	0.0436536	-0.125431	0.0293778	0.0228237	-0.166177	0.0282167	0.0477926	0.00608187	0.031817	-0.00324482	-0.0130447	-0.0167469	-0.0740404	0.0106165	-0.0759192	-0.108155	0.0947488	0.115928	0.0514452	-0.00778492	0.17306	0.0542709	-0.0657111	-0.0453604	-0.0437076	0.0204272	0.0436597	0.105335	-0.0832568	-0.0309868	-0.152646	0.15755	0.0723779	0.0294301	-0.137958	-0.0595894	-0.0879284	0.268995	-0.0294033	0.0579436	0.0494284	-0.055492	-0.0934594	0.020028	-0.0779627	0.0220417	-0.0926703	0.171106	-0.0383945	-0.0914373	0.0208147	0.0346861	-0.0862811	0.0020475	0.0163632	-0.0551074	0.128604	0.0710097	0.108167	0.0313961	0.0380486	0.015058	0.0147051	-0.023274	-0.0163088	-0.133068	0.235936	-0.0073813	0.124529	-0.0649298	-0.0277746	-0.0237097	-0.00450332	-0.0886244	0.0510116	0.129385	0.00407092	-0.024085	0.00410115	-0.0236694	0.00650737	
0.00817449	0.115917	0.11102	-0.146532	0.0298329	-0.0979641	-0.0118345	-0.246596	0.106638	0.0538828	0.0832793	-0.0848962	-0.13186	0.139196	-0.100455	-0.0138739	-0.0114154	0.0436715	-0.117969	0.0334645	-0.130711	0.0167308	0.038776	-0.16657	0.0318667	0.0465509	0.0204	0.0355055	-0.0110132	-0.00693229	-0.0171481	-0.0654154	0.0110221	-0.0697963	-0.100415	0.0976554	0.116363	0.0510285	0.00896999	0.187347	0.0612224	-0.0799989	-0.0449291	-0.0424669	0.0249068	0.039996	0.107413	-0.0902216	-0.0199949	-0.157962	0.167755	0.0751997	0.0273683	-0.1392	-0.0518358	-0.0899296	0.269418	-0.0232721	0.0534807	0.0383876	-0.0518362	-0.0873457	0.0204212	-0.0848995	0.0102044	-0.0955196	0.181292	-0.0453206	-0.099188	0.0146932	0.036732	-0.0931872	-0.0106097	0.00695353	-0.0489819	0.121652	0.07959	0.112655	0.0334725	0.042507	0.0138656	0.0159231	-0.0302079	-0.0142793	-0.131024	0.241236	-0.00205433	0.136354	-0.0645076	-0.0167429	-0.0183839	-0.00327078	-0.0898302	0.0514258	0.125713	0.00448559	-0.0212259	0.0142946	-0.031427	-0.00776585	
0.00496868	0.106093	0.10449	-0.147354	0.0258669	-0.103699	-0.0240655	-0.241769	0.0928877	0.0359472	0.0938033	-0.0824312	-0.115447	0.140863	-0.0940105	-0.0195643	-0.0145627	0.0444738	-0.109019	0.0268646	-0.136548	0.0118067	0.052554	-0.165001	0.0287	0.0498848	0.028463	0.0476941	-0.00524836	-0.00525753	-0.014727	-0.0533275	0.0126648	-0.061635	-0.0979012	0.101561	0.121158	0.0437152	0.010535	0.211018	0.0668892	-0.0824399	-0.0425713	-0.0449803	0.0314799	0.0358741	0.110539	-0.095844	-0.00594002	-0.153842	0.175916	0.0818887	0.0225509	-0.13913	-0.0420339	-0.085194	0.259561	-0.0200406	0.0509123	0.0384596	-0.0566613	-0.0840442	0.0204812	-0.0881728	0.0036758	-0.0841225	0.182192	-0.0510896	-0.108186	0.0163219	0.04161	-0.0998849	-0.0146754	-0.00113381	-0.0391979	0.120067	0.0787397	0.122459	0.0349704	0.0410131	0.0161843	0.0167655	-0.0285952	-0.0199481	-0.139201	0.246976	0.00195035	0.148656	-0.06538	-0.012703	-0.00621016	0.00404449	-0.0923557	0.0432384	0.128154	0.00201055	-0.0244992	0.015157	-0.0322334	-0.0151718	
0.00294255	0.0975146	0.0934694	-0.153478	0.0222208	-0.107377	-0.0301845	-0.238929	0.0900628	0.0216672	0.0909222	-0.0738557	-0.103586	0.130667	-0.0903578	-0.0191501	-0.0116738	0.0473275	-0.104536	0.0231735	-0.148422	0.00567763	0.0651865	-0.158893	0.0266833	0.0494936	0.0312954	0.0415563	-0.0170738	-0.00320607	-0.0175912	-0.0521445	0.0114428	-0.0571457	-0.0860465	0.104376	0.127256	0.0441319	0.0133757	0.226936	0.0754495	-0.0820297	-0.0479023	-0.044588	0.0367969	0.0379051	0.106827	-0.102762	0.0100363	-0.146894	0.180405	0.0815182	0.0237963	-0.141154	-0.0359099	-0.0782891	0.252606	-0.01311	0.0431232	0.0372529	-0.0448034	-0.0868925	0.0225373	-0.09593	-0.0106094	-0.0837224	0.182622	-0.060492	-0.110231	0.0126474	0.0501766	-0.105237	-0.0183449	-0.00723832	-0.0371601	0.118855	0.0709757	0.133481	0.0386127	0.0406396	0.0181936	0.0139148	-0.0281921	-0.0276924	-0.13798	0.25882	-0.00256008	0.160508	-0.0600871	-0.0139381	0.00642729	0.00526103	-0.0935995	0.0371098	0.122846	0.00894303	-0.021644	0.0163931	-0.035088	-0.0229425	
