0.00793173	0.0168775	0.00596297	
0.103429	0.404353	0.00541991	
0.170144	0.653025	0.0108828	
0.223415	0.800075	0.0370072	
0.240535	0.877892	0.0298901	
0.248472	0.934436	0.0328763	
0.251907	0.960172	0.0288493	
0.258425	0.97649	0.0273299	
0.261127	0.986895	0.028342	
0.261315	0.991746	0.0311015	
0.260921	0.995073	0.0303925	
0.260425	0.998437	0.0302911	
0.261297	0.999375	0.0300631	
0.261297	0.999375	0.0300631	
0.261297	0.999375	0.0300631	
0.261297	0.999375	0.0300631	
0.261297	0.999375	0.0300631	
0.261297	0.999375	0.0300631	
0.260613	0.999687	0.0297086	
0.259928	1	0.0301896	
0.259928	1	0.0301896	
0.259928	1	0.0301896	
0.259928	1	0.0301896	
0.259928	1	0.0301896	
0.259928	1	0.0301896	
0.259928	1	0.0301896	
0.259928	1	0.0301896	
0.259928	1	0.0301896	
0.259928	1	0.0301896	
0.259928	1	0.0301896	
