0.0121855	0.0217377	-0.0114002	-0.0159311	0.011173	0.00244581	-0.0021361	-0.0170237	0.0228228	0.00784476	-0.00226978	0.0139062	0.00251564	0.01411	-0.00321165	-0.0130899	0.0040343	0.000471502	-0.00444563	0.00664276	-0.00811609	0.00650221	-0.0085651	0.0110974	-0.0190975	-0.00997311	0.0127107	0.022854	-0.0290249	-0.00430862	
0.117232	0.0994702	-0.00942687	-0.168146	0.113566	0.0306166	0.0270728	-0.134489	0.121275	-0.00910206	-0.132972	0.168535	0.00603193	0.0860137	-0.0323201	-0.0754722	0.0861907	0.0252212	-0.0139386	0.0182195	-0.121294	0.00534518	-0.0261311	0.06031	-0.142181	-0.0656985	0.117479	0.202862	-0.184435	-0.0721284	
0.140806	0.136382	0.00858054	-0.196739	0.173593	0.0346929	0.0228306	-0.210218	0.170197	-0.0122185	-0.180857	0.225726	-0.012633	0.0955058	-0.0248822	-0.102459	0.128561	0.0155312	-0.025293	0.0208556	-0.177543	-0.0273563	-0.0293858	0.0620708	-0.165708	-0.0767326	0.140434	0.260815	-0.213082	-0.090605	
0.1514	0.146211	0.0102222	-0.209804	0.187403	0.0412225	0.0260664	-0.238758	0.187329	-0.018722	-0.20367	0.242878	-0.0248578	0.0856463	-0.0281306	-0.113897	0.15467	0.0114693	-0.0211972	0.0241565	-0.200386	-0.0567535	-0.0334654	0.0865869	-0.17711	-0.0611314	0.159228	0.275508	-0.220443	-0.0913638	
0.161196	0.142129	0.0102222	-0.206539	0.184951	0.0428552	0.0252499	-0.26897	0.199574	-0.024437	-0.22899	0.252674	-0.0411855	0.0791121	-0.0256815	-0.117162	0.166915	0.0114693	-0.0211972	0.0135421	-0.203651	-0.0681822	-0.0302001	0.0996494	-0.176294	-0.051326	0.156779	0.273059	-0.215545	-0.0913638	
0.16162	0.136795	0.00735753	-0.19225	0.187065	0.0416315	0.0191516	-0.284925	0.209787	-0.0330329	-0.244964	0.260422	-0.0481423	0.0754849	-0.0212057	-0.115114	0.182847	0.0192083	-0.021617	0.00412329	-0.19999	-0.0783789	-0.0297936	0.109834	-0.166111	-0.037907	0.158805	0.259591	-0.215942	-0.0942709	
0.156728	0.131069	0.0155179	-0.180004	0.195266	0.0367339	0.0142629	-0.302901	0.219587	-0.0371244	-0.258868	0.265317	-0.053864	0.0730539	-0.0195786	-0.111846	0.182852	0.0159361	-0.0118255	0.00901059	-0.199179	-0.0914373	-0.026529	0.115541	-0.159589	-0.0183217	0.153084	0.254693	-0.207774	-0.0983742	
0.157494	0.132788	0.0220726	-0.170219	0.203213	0.0359149	0.00520195	-0.313412	0.233436	-0.0386826	-0.269334	0.26126	-0.0603391	0.0639145	-0.0154515	-0.114319	0.183628	0.0217041	-0.00689002	0.00992039	-0.193424	-0.109421	-0.022442	0.113156	-0.152983	-0.00341086	0.140071	0.247343	-0.200464	-0.10067	
0.151355	0.133223	0.0257536	-0.165732	0.202733	0.0306079	-0.000129965	-0.318687	0.235467	-0.0488647	-0.284397	0.268206	-0.0688937	0.0618242	-0.0084982	-0.112285	0.185656	0.0245781	-0.00157206	0.0258712	-0.190554	-0.122898	-0.0187669	0.118483	-0.146837	0.0101349	0.125799	0.233873	-0.193536	-0.105114	
0.154672	0.138853	0.024097	-0.160007	0.201325	0.02408	-0.00658158	-0.322057	0.244476	-0.0497558	-0.298434	0.270631	-0.0828282	0.0603454	-0.00854352	-0.104914	0.178349	0.0310558	0.00655415	0.0306768	-0.182431	-0.135119	-0.00815994	0.12495	-0.133848	0.0246401	0.108607	0.227345	-0.186152	-0.106902	
0.148963	0.136392	0.0232776	-0.155924	0.200536	0.0191823	-0.0139196	-0.317988	0.24448	-0.0497651	-0.309888	0.276342	-0.0877336	0.0636318	-0.0101819	-0.103279	0.175089	0.035131	0.00899854	0.0371971	-0.177538	-0.142463	-0.00162999	0.131473	-0.131408	0.0287003	0.0963557	0.222448	-0.18778	-0.109372	
0.140015	0.134706	0.0232626	-0.147754	0.199043	0.0118371	-0.0212177	-0.311521	0.250213	-0.0481789	-0.326318	0.276327	-0.0926669	0.069446	0.000402518	-0.096733	0.172665	0.0375469	0.0114243	0.0322398	-0.179195	-0.157142	-0.000816993	0.138781	-0.126556	0.0367447	0.0857129	0.215919	-0.182042	-0.116819	
