0.0121855	0.0217377	-0.0114002	-0.0159311	0.011173	
0.238347	0.396453	-0.0824336	-0.265722	0.0922001	
0.326047	0.54311	-0.10812	-0.346143	0.114407	
0.365714	0.5932	-0.128971	-0.379189	0.114324	
0.375106	0.607483	-0.130197	-0.388576	0.119651	
0.379991	0.612403	-0.131824	-0.391028	0.120411	
0.381637	0.614014	-0.132646	-0.392658	0.12292	
0.382048	0.614417	-0.133056	-0.392249	0.123343	
0.38163	0.615658	-0.131827	-0.392659	0.122074	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
0.382042	0.616061	-0.13142	-0.392251	0.12168	
