0.0121855	0.0217377	-0.0114002	-0.0159311	0.011173	0.00244581	-0.0021361	-0.0170237	0.0228228	0.00784476	-0.00226978	0.0139062	0.00251564	0.01411	-0.00321165	-0.0130899	0.0040343	0.000471502	-0.00444563	0.00664276	
0.138395	0.258788	-0.0575608	-0.17469	0.12636	0.0257153	0.0351373	-0.168653	0.217566	0.073451	-0.0992944	0.218361	-0.00451112	0.0703015	0.00937121	-0.0436651	0.144918	0.0407991	-0.0391989	0.0379319	
0.157893	0.367538	-0.0599648	-0.218792	0.17579	0.0453021	0.039886	-0.228882	0.268941	0.119311	-0.125146	0.291877	-0.00440615	0.0528589	0.00945618	-0.0518734	0.208519	0.0466137	-0.0546397	0.0364739	
0.181593	0.423015	-0.0616095	-0.231848	0.179173	0.0550994	0.0660524	-0.235466	0.290997	0.125805	-0.131756	0.302477	-0.00851608	0.0202649	0.0118826	-0.031453	0.24201	0.0351577	-0.0415967	0.0413262	
0.183289	0.45475	-0.0551088	-0.226937	0.176187	0.0591843	0.0767662	-0.24866	0.286136	0.12163	-0.140931	0.301631	-0.0191991	0.00167224	0.0248878	-0.0232596	0.255938	0.0252945	-0.0383779	0.0387601	
0.185314	0.473964	-0.0497951	-0.219185	0.176525	0.0685713	0.0828646	-0.253119	0.27184	0.11553	-0.147009	0.296332	-0.0187734	-0.011853	0.0277593	-0.0187773	0.268579	0.0257193	-0.0338763	0.0318491	
0.175537	0.508223	-0.0465387	-0.22163	0.156177	0.0734702	0.0845275	-0.25969	0.248994	0.114686	-0.149516	0.279996	-0.0302238	-0.0273139	0.0408041	-0.00978855	0.26941	0.01427	-0.0347067	0.0203832	
0.16655	0.547424	-0.0424541	-0.215101	0.138168	0.0775515	0.0910491	-0.246613	0.225316	0.113062	-0.147047	0.265305	-0.0294004	-0.043669	0.0432589	-0.0065262	0.270222	0.0126439	-0.0257221	0.0187618	
0.149786	0.614831	-0.038767	-0.201637	0.107391	0.0795909	0.0856971	-0.224099	0.189789	0.0996328	-0.130218	0.246951	-0.023246	-0.0621336	0.0404271	-0.000417165	0.255913	0.000836374	-0.0163131	0.0241215	
0.12377	0.715075	-0.0355527	-0.164063	0.0751809	0.0763312	0.0744368	-0.181861	0.136789	0.083962	-0.10032	0.201185	-0.0111192	-0.0585378	0.0264526	-0.00608055	0.21518	-0.0115226	-0.00496343	0.0427026	
0.0613643	0.873797	-0.0261873	-0.0771144	0.0333021	0.0375582	0.0340976	-0.0851989	0.0523248	0.0393964	-0.0502314	0.111774	-0.00423238	-0.0285801	0.00804187	-0.00728256	0.113581	-0.0168791	0.00683871	0.0373079	
0.0233807	0.95589	-0.0184216	-0.0293638	0.00990947	0.0191897	0.00752799	-0.0398358	0.00945392	0.00962925	-0.0105517	0.0460691	0.00518056	-0.0135373	0.00275532	-0.00117053	0.0494796	-0.0107329	0.00318144	0.0336745	
0.00703416	0.985314	-0.0167799	-0.0171229	0.00083399	0.00939275	-0.00474873	-0.0177504	-0.00688394	0.0112901	0.00257365	0.026486	0.00928348	-0.00624423	-0.00212588	0.00208583	0.0315047	-0.00744739	0.00646085	0.0279941	
-0.000730906	0.99472	-0.0171836	-0.0110024	-0.00206913	0.00816776	-0.00517195	-0.0124235	-0.013012	0.00599728	0.00627762	0.0195516	0.00888578	-0.00668163	-0.00497467	0.00412217	0.0229255	-0.0102947	0.0101414	0.0267868	
-0.00152829	0.997954	-0.0147436	-0.00936579	-0.00361868	0.00816876	-0.00514196	-0.0108294	-0.01545	0.00515286	0.00948768	0.0170936	0.00886479	-0.00417327	-0.00662439	0.00576384	0.0213078	-0.0103147	0.00931109	0.0275683	
-0.002351	0.998781	-0.0139242	-0.00855079	-0.00446435	0.0073521	-0.00515196	-0.00999987	-0.0154537	0.00597862	0.0103235	0.0170966	0.00887179	-0.00500939	-0.00743509	0.00494451	0.0213028	-0.0103081	0.00931576	0.02758	
-0.00193964	1	-0.0151502	-0.00814196	-0.00567614	0.00857676	-0.00392229	-0.00878157	-0.0166764	0.00556574	0.0107223	0.0158706	0.0084601	-0.00459133	-0.00621338	0.00453784	0.0200807	-0.0099032	0.00890525	0.0271659	
-0.00193964	1	-0.0151502	-0.00814196	-0.00567614	0.00857676	-0.00392229	-0.00878157	-0.0166764	0.00556574	0.0107223	0.0158706	0.0084601	-0.00459133	-0.00621338	0.00453784	0.0200807	-0.0099032	0.00890525	0.0271659	
-0.00193964	1	-0.0151502	-0.00814196	-0.00567614	0.00857676	-0.00392229	-0.00878157	-0.0166764	0.00556574	0.0107223	0.0158706	0.0084601	-0.00459133	-0.00621338	0.00453784	0.0200807	-0.0099032	0.00890525	0.0271659	
-0.00193964	1	-0.0151502	-0.00814196	-0.00567614	0.00857676	-0.00392229	-0.00878157	-0.0166764	0.00556574	0.0107223	0.0158706	0.0084601	-0.00459133	-0.00621338	0.00453784	0.0200807	-0.0099032	0.00890525	0.0271659	
-0.00193964	1	-0.0151502	-0.00814196	-0.00567614	0.00857676	-0.00392229	-0.00878157	-0.0166764	0.00556574	0.0107223	0.0158706	0.0084601	-0.00459133	-0.00621338	0.00453784	0.0200807	-0.0099032	0.00890525	0.0271659	
-0.00193964	1	-0.0151502	-0.00814196	-0.00567614	0.00857676	-0.00392229	-0.00878157	-0.0166764	0.00556574	0.0107223	0.0158706	0.0084601	-0.00459133	-0.00621338	0.00453784	0.0200807	-0.0099032	0.00890525	0.0271659	
-0.00193964	1	-0.0151502	-0.00814196	-0.00567614	0.00857676	-0.00392229	-0.00878157	-0.0166764	0.00556574	0.0107223	0.0158706	0.0084601	-0.00459133	-0.00621338	0.00453784	0.0200807	-0.0099032	0.00890525	0.0271659	
