0.0121855	0.0217377	-0.0114002	-0.0159311	0.011173	0.00244581	-0.0021361	-0.0170237	0.0228228	0.00784476	-0.00226978	0.0139062	0.00251564	0.01411	-0.00321165	-0.0130899	0.0040343	0.000471502	-0.00444563	0.00664276	-0.00811609	0.00650221	-0.0085651	0.0110974	-0.0190975	-0.00997311	0.0127107	0.022854	-0.0290249	-0.00430862	0.0201878	-0.00465649	0.0181077	0.00116758	-0.0142357	0.0058457	0.0103868	-0.00529348	0.00126885	-0.016237	0.0175574	0.00807878	0.00204715	-0.00645215	0.00455341	0.00793651	-0.0269231	0.0177659	-0.00336397	0.00603461	
0.0918359	0.114316	-0.0297933	-0.107757	0.0698517	0.0387752	0.0367302	-0.0844982	0.118774	0.0089901	-0.072265	0.126127	-0.0314239	0.066957	0.054294	-0.0420444	0.073059	0.0367438	0.00163737	0.0265477	-0.0746917	0.0150992	0.0171435	0.0514415	-0.0889819	-0.0914913	0.111032	0.126122	-0.152663	-0.0653234	0.094762	-0.0351352	0.21519	0.0391798	-0.0310164	-0.0387727	0.124165	-0.0122436	0.0204135	-0.144092	0.0791844	0.0444862	0.00979659	0.0306238	-0.00815714	-0.0105991	-0.144897	0.156415	-0.0183806	-0.0489953	
0.120339	0.137294	-0.00445387	-0.115118	0.0801648	0.0706083	0.0390696	-0.115384	0.161184	0.00174483	-0.105544	0.136773	-0.0452255	0.0585764	0.0845618	-0.0486081	0.112189	0.00824378	-0.013822	0.0274925	-0.0999438	0.00853556	0.0220488	0.0596935	-0.112556	-0.130434	0.109466	0.1302	-0.200879	-0.0740953	0.0917004	-0.0353259	0.305997	0.0627886	-0.0260596	-0.0672018	0.165208	-0.0277392	0.0376082	-0.20032	0.0767427	0.0713293	0.0253141	0.0241841	-0.0137985	-0.0193781	-0.178348	0.225613	-0.0176778	-0.0744074	
0.136319	0.140051	0.000823835	-0.108983	0.0767563	0.0857135	0.0477373	-0.116732	0.17877	-0.0134478	-0.122468	0.141234	-0.0563132	0.0567182	0.0865489	-0.0506204	0.126523	-0.00855534	-0.0142745	0.022891	-0.111012	-0.0106199	0.0306139	0.0641078	-0.113869	-0.139254	0.116348	0.114285	-0.212672	-0.0657028	0.0755963	-0.0355695	0.338927	0.0746829	-0.0248857	-0.0791717	0.189125	-0.0412213	0.0477683	-0.231845	0.0779609	0.0620259	0.0322466	0.0171655	-0.0289649	-0.0305816	-0.197548	0.244199	-0.0171714	-0.0877899	
0.14085	0.132225	-0.000420164	-0.0955051	0.0765319	0.0918381	0.047394	-0.123757	0.183284	-0.0269796	-0.138518	0.130194	-0.0665635	0.0539851	0.0779403	-0.0428457	0.144923	-0.0245181	-0.0171621	0.015875	-0.112269	-0.00202885	0.0432627	0.064464	-0.109439	-0.147999	0.121615	0.103267	-0.205702	-0.0719544	0.0489305	-0.0301484	0.369452	0.0865593	-0.0212467	-0.0894675	0.191862	-0.0604137	0.0603915	-0.247828	0.0808137	0.0616761	0.0261198	0.00445694	-0.0473768	-0.0466296	-0.19715	0.250467	-0.0240442	-0.0995675	
0.135154	0.119129	0.00446886	-0.0832562	0.0700785	0.0934717	0.0466076	-0.11563	0.175131	-0.0351719	-0.145926	0.121205	-0.0682173	0.0532263	0.0754742	-0.0403877	0.153918	-0.0212726	-0.0139107	0.014207	-0.11555	-0.00201985	0.0538729	0.0668892	-0.114366	-0.15216	0.119964	0.099186	-0.198341	-0.0744627	0.0309059	-0.0251962	0.388189	0.0865773	-0.0171809	-0.090325	0.192623	-0.0759279	0.0726228	-0.25194	0.088975	0.0600703	0.0334647	0.00198271	-0.0580097	-0.0524029	-0.195523	0.252166	-0.0215638	-0.112602	
0.135192	0.110084	0.00853256	-0.0661053	0.0776044	0.0983717	0.0499334	-0.123874	0.174337	-0.0401265	-0.151758	0.105677	-0.0576462	0.0410906	0.0599292	-0.0379207	0.157214	-0.0311091	-0.0139386	0.0206689	-0.113947	-0.00771622	0.0579506	0.0692904	-0.117688	-0.149044	0.111765	0.0959227	-0.190966	-0.0704948	0.0111919	-0.020192	0.401982	0.0833478	-0.0131311	-0.0953063	0.191694	-0.0824665	0.0856564	-0.249548	0.09142	0.0650228	0.0367261	-0.00296574	-0.0678463	-0.0541484	-0.189818	0.264549	-0.0223183	-0.138672	
0.1262	0.109289	0.0118039	-0.0620263	0.080817	0.0975547	0.0507298	-0.13038	0.163717	-0.0474558	-0.163154	0.0999684	-0.0462028	0.044319	0.0411642	-0.0371104	0.162918	-0.029463	-0.00494943	0.0166098	-0.110671	-0.0093549	0.0628499	0.0652244	-0.122568	-0.144091	0.105246	0.0975547	-0.177914	-0.0737233	-0.00510587	-0.0169599	0.422427	0.088234	-0.00250773	-0.0993618	0.186831	-0.0881782	0.101176	-0.250345	0.090605	0.0658212	0.0318294	-0.0102968	-0.0751804	-0.0622786	-0.176754	0.259605	-0.0182567	-0.147672	
0.128256	0.108854	0.020368	-0.0518189	0.0829311	0.0979637	0.0503466	-0.131637	0.15842	-0.0536023	-0.169328	0.09792	-0.0400974	0.0455926	0.0391091	-0.030164	0.166604	-0.0298879	-0.00700198	0.0120899	-0.0988467	-0.0113882	0.0591747	0.0566322	-0.127081	-0.142928	0.101557	0.09878	-0.170147	-0.0700961	-0.021896	-0.0156915	0.426064	0.0902899	0.00523438	-0.0949049	0.180659	-0.0934876	0.109737	-0.246696	0.0885625	0.0711505	0.0330523	-0.0115422	-0.0764216	-0.0741682	-0.171452	0.267419	-0.0219049	-0.157854	
0.122909	0.104433	0.0297753	-0.053052	0.087242	0.0959207	0.0506898	-0.14176	0.157988	-0.0539499	-0.17533	0.099164	-0.0388273	0.0458753	0.0354723	-0.0256936	0.158816	-0.0335183	-0.00656348	0.00685854	-0.0967733	-0.0118159	0.0612199	0.0546431	-0.124163	-0.140721	0.094657	0.096737	-0.163238	-0.0679284	-0.0303506	-0.0170292	0.431469	0.0980065	0.0105754	-0.0911416	0.177105	-0.0971524	0.115073	-0.244592	0.0906076	0.0698674	0.0318321	-0.0118963	-0.0743373	-0.0842563	-0.171849	0.264419	-0.0166651	-0.164038	
